file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,scenario,ID
A3043.xlsx,0.03484848484848486,0.05423741543774019,0.055341055247693074,0.06223327499923241,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3045.xlsx,0.042125941285605144,0.06527946299767473,0.06793288207167622,0.07443673794469427,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3049.xlsx,0.061793045664013405,0.045364310827989196,0.04336343281422613,0.04304742116086683,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3051.xlsx,0.06976744186046513,0.04269693929357062,0.041519655135249287,0.03487237366821513,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3052.xlsx,0.03716216216216216,0.019210063116403095,0.02139337783308492,0.018469411044166613,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3053.xlsx,0.032456140350877176,0.016142384789710862,0.01405554823753491,0.015136026578827353,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3056.xlsx,0.04973544973544974,0.026454785858228167,0.02448965012268058,0.02337486084531004,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3057.xlsx,0.11945031712473574,0.09112367230194598,0.09014250506286557,0.08230008282940868,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3058.xlsx,0.03246753246753249,0.0358244348053523,0.03422724238184978,0.039206656227932825,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3059.xlsx,0.0448464912280702,0.06866885142574754,0.07107021518517172,0.07800864987008181,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3060.xlsx,0.11491935483870969,0.08608958017221204,0.08557528699308002,0.07909528035463463,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3062.xlsx,0.03064479380268858,0.019724236641779285,0.01733160699578106,0.01872023708529871,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3063.xlsx,0.040700040700040664,0.026007664601551548,0.02339558295093018,0.025842441130069213,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3066.xlsx,0.01424014581909318,0.03541468547502807,0.03761180417891873,0.04493369075597318,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3071.xlsx,0.0791151106111736,0.056838351362243904,0.05576326800984094,0.05073187890381187,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A3072.xlsx,0.07792207792207792,0.05009107707625688,0.049200390709562614,0.04319235460434696,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A4000.xlsx,0.02455357142857141,0.007053889400162328,0.008718119933612878,0.010167991176967213,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A4001.xlsx,0.021071428571428574,0.024659866013549046,0.02553129474349062,0.03202055667125004,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A530.xlsx,0.06979199662126491,0.042277771394827225,0.041267706463483565,0.03413188309885235,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A531.xlsx,0.05456349206349203,0.0394114191648536,0.0371888986589588,0.035663321891229144,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
A535.xlsx,0.17549325025960538,0.14484446895431655,0.14501567803084817,0.13451008037081713,Graded-test temporal holdout,load_fraction,exclude each unit target maximum,
