file,raw_linear,scaled_linear,affine_linear,cycling_tail,dataset,target,representation,ID
A4000.xlsx,0.059281582172066916,0.04669506458436362,0.03791282198817809,0.05072847934950352,Graded-test temporal holdout,vo2r,continuous,
A4001.xlsx,0.051345508334755624,0.0276762162365235,0.02341205164507594,0.031166149986520435,Graded-test temporal holdout,vo2r,continuous,
A530.xlsx,0.08795946876406871,0.05827461854194093,0.06302860967426396,0.05675686943195772,Graded-test temporal holdout,vo2r,continuous,
A531.xlsx,0.0472422173003568,0.035376174544087015,0.043916547064550004,0.030107429156773904,Graded-test temporal holdout,vo2r,continuous,
A535.xlsx,0.1891018870932388,0.15344944747506348,0.15125283151579066,0.15266199975120084,Graded-test temporal holdout,vo2r,continuous,
A536.xlsx,0.008335310868533514,0.02425922953719984,0.022775288791167157,0.025572322271936107,Graded-test temporal holdout,vo2r,continuous,
A538.xlsx,0.07481005711812395,0.050809139916065095,0.05192029572893364,0.049012537613239204,Graded-test temporal holdout,vo2r,continuous,
A543.xlsx,0.02943181818181822,0.01772749363296386,0.02275793540236397,0.01301505353914615,Graded-test temporal holdout,vo2r,continuous,
A547.xlsx,0.01632619478596117,0.03185818095812741,0.027398724601630016,0.037101316385023085,Graded-test temporal holdout,vo2r,continuous,
A577.xlsx,0.0816923754105418,0.05284628689853093,0.05809489427050707,0.04710191594822019,Graded-test temporal holdout,vo2r,continuous,
A582.xlsx,0.05526059232715008,0.06952238516231442,0.06313358792809759,0.0745541522221736,Graded-test temporal holdout,vo2r,continuous,
A600.xlsx,0.0453938584779706,0.04361562349135941,0.031249837718967593,0.05123487037966388,Graded-test temporal holdout,vo2r,continuous,
A1085.xlsx,0.09999999999999998,0.08051829940792524,0.07932587165248063,0.06882138439238367,Graded-test temporal holdout,load_fraction,continuous,
A1086.xlsx,0.060805084745762725,0.04841508662369128,0.04592810644281456,0.04266361871232075,Graded-test temporal holdout,load_fraction,continuous,
A1088.xlsx,0.034554334554334556,0.05461522668044221,0.056133415758754864,0.06312030092717484,Graded-test temporal holdout,load_fraction,continuous,
A1096.xlsx,0.021590909090909063,0.02128179972321472,0.01910409008176618,0.020879491237324806,Graded-test temporal holdout,load_fraction,continuous,
A1106.xlsx,0.04305977710233031,0.028302232135878243,0.02822336188839084,0.0204667620365491,Graded-test temporal holdout,load_fraction,continuous,
A1108.xlsx,0.019576719576719574,0.0157297656056537,0.015460108069503209,0.01785143305588097,Graded-test temporal holdout,load_fraction,continuous,
A1116.xlsx,0.02181085043988268,0.0404812580116364,0.04206129369937181,0.0447657646158487,Graded-test temporal holdout,load_fraction,continuous,
A1117.xlsx,0.04061234817813764,0.026614152619693812,0.025151034244076637,0.021945094272995458,Graded-test temporal holdout,load_fraction,continuous,
A1120.xlsx,0.027979553403282207,0.030244651250203758,0.029089567201687958,0.03713399153080822,Graded-test temporal holdout,load_fraction,continuous,
A202.xlsx,0.07242225859247134,0.05160191133050631,0.050520577936857845,0.03780190579117606,Graded-test temporal holdout,load_fraction,continuous,
A203.xlsx,0.06522133526850504,0.050323937129953304,0.04922307772107628,0.03914953370919382,Graded-test temporal holdout,load_fraction,continuous,
A204.xlsx,0.06897566718995288,0.052775561106524406,0.051712159767677644,0.043085575969702326,Graded-test temporal holdout,load_fraction,continuous,
A205.xlsx,0.01493930905695615,0.023283621521041187,0.02483239476513018,0.027277976503724266,Graded-test temporal holdout,load_fraction,continuous,
A207.xlsx,0.08224687933425792,0.0629002806880367,0.062063329978682226,0.05182866312236595,Graded-test temporal holdout,load_fraction,continuous,
A208.xlsx,0.081904761904762,0.06646783343561327,0.065457953846679,0.052077001013171344,Graded-test temporal holdout,load_fraction,continuous,
A220.xlsx,0.052729126123621545,0.03636532569880398,0.0360009349723769,0.025841899221590667,Graded-test temporal holdout,load_fraction,continuous,
A221.xlsx,0.0519230769230769,0.043481473054150954,0.040919112780586124,0.0383188551764656,Graded-test temporal holdout,load_fraction,continuous,
A226.xlsx,0.07190476190476194,0.05561282679088463,0.0535260127145231,0.04460655184059443,Graded-test temporal holdout,load_fraction,continuous,
A232.xlsx,0.02562830687830686,0.01980270589722778,0.019479221018928305,0.015344945602354406,Graded-test temporal holdout,load_fraction,continuous,
A236.xlsx,0.018951612903225848,0.019858619078389463,0.022168631857791207,0.020155463182313503,Graded-test temporal holdout,load_fraction,continuous,
A237.xlsx,0.02842741935483869,0.020962883859152993,0.018609369152653807,0.01813713551929503,Graded-test temporal holdout,load_fraction,continuous,
A238.xlsx,0.03802521008403363,0.02197152332305928,0.019169173695402678,0.014493377659783153,Graded-test temporal holdout,load_fraction,continuous,
A239.xlsx,0.030229128856624293,0.04670952607712572,0.046810180256946464,0.04986684096458153,Graded-test temporal holdout,load_fraction,continuous,
A240.xlsx,0.029268292682926807,0.02848762757031864,0.02718395894254707,0.0279992927646511,Graded-test temporal holdout,load_fraction,continuous,
A241.xlsx,0.06107226107226103,0.04255631999671653,0.040683858835889576,0.03199465665368559,Graded-test temporal holdout,load_fraction,continuous,
A246.xlsx,0.030982905982905977,0.050177529788916334,0.05213721184647473,0.05371718434320717,Graded-test temporal holdout,load_fraction,continuous,
A251.xlsx,0.09774436090225566,0.07909270770382824,0.07799386313335933,0.06722126539026016,Graded-test temporal holdout,load_fraction,continuous,
A274.xlsx,0.0403708133971292,0.0653637845514356,0.06732399739136286,0.06958361173406062,Graded-test temporal holdout,load_fraction,continuous,
A275.xlsx,0.03397612488521578,0.058627900290063296,0.06071669454959017,0.06329356695156411,Graded-test temporal holdout,load_fraction,continuous,
A294.xlsx,0.03900000000000001,0.025961036598815893,0.023130983668474686,0.018616075650118254,Graded-test temporal holdout,load_fraction,continuous,
A295.xlsx,0.04896675651392635,0.03491556958188557,0.03251252458374386,0.024846440296778478,Graded-test temporal holdout,load_fraction,continuous,
A3000.xlsx,0.03183023872679042,0.04241129502417654,0.04386055153860203,0.04774445111640777,Graded-test temporal holdout,load_fraction,continuous,
A3001.xlsx,0.06599002849002848,0.08364287364406502,0.08560457267462504,0.0860215843440065,Graded-test temporal holdout,load_fraction,continuous,
A3002.xlsx,0.04219899341850564,0.032625635402079384,0.033072400831478624,0.024038188833713264,Graded-test temporal holdout,load_fraction,continuous,
A3003.xlsx,0.03246753246753248,0.03179347146409961,0.029757679093333465,0.029821006416751054,Graded-test temporal holdout,load_fraction,continuous,
A3005.xlsx,0.05408163265306123,0.03332765773660613,0.03204574597879046,0.022483391967295024,Graded-test temporal holdout,load_fraction,continuous,
A3008.xlsx,0.01936456400742116,0.04071851194485293,0.042302172607107405,0.04772610237531763,Graded-test temporal holdout,load_fraction,continuous,
A3009.xlsx,0.010505836575875482,0.018469296649393774,0.019180400162769867,0.022486485955773516,Graded-test temporal holdout,load_fraction,continuous,
A3010.xlsx,0.027380952380952388,0.028309193751942557,0.02759984505047574,0.029050456865173165,Graded-test temporal holdout,load_fraction,continuous,
A3011.xlsx,0.014285714285714275,0.031896584701761654,0.031562688723870524,0.03427011166227694,Graded-test temporal holdout,load_fraction,continuous,
A3012.xlsx,0.08490566037735847,0.06536269657587472,0.06514160168227916,0.05190699095359649,Graded-test temporal holdout,load_fraction,continuous,
A3013.xlsx,0.06565656565656565,0.045641686087432125,0.04391305489408484,0.033286016632483734,Graded-test temporal holdout,load_fraction,continuous,
A3014.xlsx,0.024509803921568613,0.05169505278698008,0.05282909419687762,0.057931437535844926,Graded-test temporal holdout,load_fraction,continuous,
A3018.xlsx,0.054341736694677845,0.04053537745155487,0.04086168569374,0.030295429718728468,Graded-test temporal holdout,load_fraction,continuous,
A3019.xlsx,0.08430962343096234,0.06543927327587742,0.0640164548804976,0.05418743827906614,Graded-test temporal holdout,load_fraction,continuous,
A3020.xlsx,0.019493177387914243,0.04470925768642811,0.04658539066740826,0.04965420246499636,Graded-test temporal holdout,load_fraction,continuous,
A3022.xlsx,0.05128205128205128,0.04623136956956147,0.04859382664546827,0.04440638391129392,Graded-test temporal holdout,load_fraction,continuous,
A3023.xlsx,0.04129870129870129,0.027680694810975664,0.02727176921482021,0.01941297473212366,Graded-test temporal holdout,load_fraction,continuous,
A3024.xlsx,0.04984283789851815,0.03952356708598323,0.0391305959698828,0.028195821515278083,Graded-test temporal holdout,load_fraction,continuous,
A3027.xlsx,0.05873015873015876,0.04045475689089422,0.03872002202679628,0.03082592812976696,Graded-test temporal holdout,load_fraction,continuous,
A3031.xlsx,0.0237106643356643,0.020823043480556323,0.020099454416221407,0.018142741623715417,Graded-test temporal holdout,load_fraction,continuous,
A3032.xlsx,0.02514506769825917,0.05250234938074706,0.053571559315245265,0.058494255242567204,Graded-test temporal holdout,load_fraction,continuous,
A3036.xlsx,0.03333333333333335,0.03679708360744201,0.034662437916750694,0.03600093395207661,Graded-test temporal holdout,load_fraction,continuous,
A3037.xlsx,0.051844903064415235,0.03214145953877219,0.030816426244687323,0.023667435384540653,Graded-test temporal holdout,load_fraction,continuous,
A3039.xlsx,0.05462783171521033,0.043809912589051,0.04206674390773765,0.03994974158833428,Graded-test temporal holdout,load_fraction,continuous,
A3041.xlsx,0.04720000000000001,0.07170018666459317,0.07384610794123013,0.07754477541371152,Graded-test temporal holdout,load_fraction,continuous,
A3043.xlsx,0.033617424242424254,0.05533140302734088,0.05592989681224965,0.06038275037610139,Graded-test temporal holdout,load_fraction,continuous,
A3045.xlsx,0.03791061879297172,0.06299944749663097,0.06492353591298412,0.06721975588126548,Graded-test temporal holdout,load_fraction,continuous,
A3049.xlsx,0.055076979472140776,0.04553298401647683,0.0433839405491332,0.039671783144617306,Graded-test temporal holdout,load_fraction,continuous,
