file,raw_hrr_exact,raw_hrr_within_one,raw_hrr_bin_error,scaled_linear_exact,scaled_linear_within_one,scaled_linear_bin_error,affine_linear_exact,affine_linear_within_one,affine_linear_bin_error,cychrr_t_exact,cychrr_t_within_one,cychrr_t_bin_error,dataset,target,ID
A3057.xlsx,0.125,0.625,1.25,0.125,1.0,0.875,0.375,1.0,0.625,0.375,1.0,0.625,Graded-test temporal holdout,vo2r,
A3058.xlsx,0.375,1.0,0.625,0.625,1.0,0.375,0.5,1.0,0.5,0.75,1.0,0.25,Graded-test temporal holdout,vo2r,
A3059.xlsx,0.6363636363636364,1.0,0.36363636363636365,0.7272727272727273,1.0,0.2727272727272727,0.7272727272727273,1.0,0.2727272727272727,0.7272727272727273,1.0,0.2727272727272727,Graded-test temporal holdout,vo2r,
A3060.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.5555555555555556,1.0,0.4444444444444444,0.4444444444444444,1.0,0.5555555555555556,0.7777777777777778,1.0,0.2222222222222222,Graded-test temporal holdout,vo2r,
A3062.xlsx,0.75,1.0,0.25,0.625,1.0,0.375,0.625,1.0,0.375,0.625,1.0,0.375,Graded-test temporal holdout,vo2r,
A3063.xlsx,0.7,1.0,0.3,0.9,1.0,0.1,0.9,1.0,0.1,1.0,1.0,0.0,Graded-test temporal holdout,vo2r,
A3066.xlsx,0.625,1.0,0.375,0.625,1.0,0.375,0.625,1.0,0.375,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A3071.xlsx,0.25,0.875,0.875,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,Graded-test temporal holdout,vo2r,
A3072.xlsx,0.125,0.625,1.25,0.25,1.0,0.75,0.125,1.0,0.875,0.25,1.0,0.75,Graded-test temporal holdout,vo2r,
A4000.xlsx,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.7777777777777778,0.8888888888888888,0.3333333333333333,0.8888888888888888,0.8888888888888888,0.2222222222222222,0.7777777777777778,0.8888888888888888,0.3333333333333333,Graded-test temporal holdout,vo2r,
A4001.xlsx,0.6666666666666666,1.0,0.3333333333333333,0.7777777777777778,1.0,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,0.7777777777777778,1.0,0.2222222222222222,Graded-test temporal holdout,vo2r,
A530.xlsx,0.125,0.875,1.0,0.5,1.0,0.5,0.25,1.0,0.75,0.625,1.0,0.375,Graded-test temporal holdout,vo2r,
A531.xlsx,0.4444444444444444,1.0,0.5555555555555556,0.4444444444444444,1.0,0.5555555555555556,0.4444444444444444,1.0,0.5555555555555556,0.5555555555555556,1.0,0.4444444444444444,Graded-test temporal holdout,vo2r,
A535.xlsx,0.14285714285714285,0.2857142857142857,1.5714285714285714,0.14285714285714285,0.42857142857142855,1.4285714285714286,0.2857142857142857,0.42857142857142855,1.2857142857142858,0.14285714285714285,0.42857142857142855,1.4285714285714286,Graded-test temporal holdout,vo2r,
A536.xlsx,1.0,1.0,0.0,0.75,1.0,0.25,0.75,1.0,0.25,0.625,1.0,0.375,Graded-test temporal holdout,vo2r,
A538.xlsx,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,Graded-test temporal holdout,vo2r,
A543.xlsx,1.0,1.0,0.0,0.875,1.0,0.125,0.875,1.0,0.125,0.875,1.0,0.125,Graded-test temporal holdout,vo2r,
