file,raw_hrr,scaled_linear,affine_linear,cychrr_t,dataset,target,hrr_band,ID
A582.xlsx,0.005546479763912315,0.04208102186087703,0.04536400811372843,0.050999346194172235,Graded-test temporal holdout,vo2r,0.80-<0.90,
A600.xlsx,0.05716510903426786,0.018559138070746273,0.012725043709711614,0.009135164195812506,Graded-test temporal holdout,vo2r,0.80-<0.90,
A1085.xlsx,0.07234976022854818,0.03447369831739511,0.032956540368603036,0.04068231770380767,Graded-test temporal holdout,vo2r,>=0.90,
A1086.xlsx,0.05058740745273199,0.010001988589919075,0.011826584443043242,0.022822703008545775,Graded-test temporal holdout,vo2r,>=0.90,
A1088.xlsx,0.0062213927031952165,0.04768498996445203,0.05703844901910882,0.044901308087965885,Graded-test temporal holdout,vo2r,>=0.90,
A1096.xlsx,0.024515648286140224,0.017003980863307455,0.026426447068819636,0.011748105400006259,Graded-test temporal holdout,vo2r,>=0.90,
A1106.xlsx,0.06046634669891526,0.035199303316965413,0.03691714090208753,0.031888863867558126,Graded-test temporal holdout,vo2r,>=0.90,
A1108.xlsx,0.039164164164164184,0.0033976129427804036,0.011687625218151199,0.018393945561006264,Graded-test temporal holdout,vo2r,>=0.90,
A1116.xlsx,0.008041735010023643,0.04845640548769625,0.058182725760684284,0.03465479354979639,Graded-test temporal holdout,vo2r,>=0.90,
A1117.xlsx,0.035420830557406136,0.006558849884556239,0.01654790111814375,0.013725099860845025,Graded-test temporal holdout,vo2r,>=0.90,
A1120.xlsx,0.06782725963159342,0.02708542906567679,0.018620875683054927,0.022778929045358054,Graded-test temporal holdout,vo2r,>=0.90,
A202.xlsx,0.06097527900953311,0.022927806531088724,0.021371212457752937,0.03324699786437909,Graded-test temporal holdout,vo2r,>=0.90,
A203.xlsx,0.05444292189311706,0.01238728958682439,0.010771258137182549,0.027556192560601822,Graded-test temporal holdout,vo2r,>=0.90,
A204.xlsx,0.025385510619726492,0.016758473855276845,0.02694987688460554,0.013443767410743879,Graded-test temporal holdout,vo2r,>=0.90,
A205.xlsx,0.037064825930372136,0.013082617937165086,0.015457275775422274,0.008553588310584948,Graded-test temporal holdout,vo2r,>=0.90,
A207.xlsx,0.061053130668254574,0.033217399483759756,0.03144399095793282,0.030891175755536165,Graded-test temporal holdout,vo2r,>=0.90,
A208.xlsx,0.04642857142857154,0.004596764616346005,0.005210170001074377,0.018181464863329277,Graded-test temporal holdout,vo2r,>=0.90,
A220.xlsx,0.0292311543728922,0.01347131307680538,0.024350526567804898,0.016030410437379516,Graded-test temporal holdout,vo2r,>=0.90,
A221.xlsx,0.038086913086913254,0.0066192820805289765,0.012104948033769214,0.012394429538455876,Graded-test temporal holdout,vo2r,>=0.90,
A226.xlsx,0.054507269789983825,0.01255059191264718,0.009943221249260004,0.03058291990818718,Graded-test temporal holdout,vo2r,>=0.90,
A232.xlsx,0.008139736477115078,0.04891822139890384,0.0583887461559045,0.036202157608550556,Graded-test temporal holdout,vo2r,>=0.90,
A236.xlsx,0.04178276712035145,0.014536038031376652,0.016055308368756238,0.015784189004076854,Graded-test temporal holdout,vo2r,>=0.90,
A237.xlsx,0.056043282972641884,0.014453162092889493,0.006965029962859248,0.03151578871060695,Graded-test temporal holdout,vo2r,>=0.90,
A238.xlsx,0.02258490172928662,0.019650899705357272,0.029955381679364845,0.022994607290676317,Graded-test temporal holdout,vo2r,>=0.90,
A239.xlsx,0.015373812227335193,0.03077673274235032,0.04010639622774659,0.03565882134908882,Graded-test temporal holdout,vo2r,>=0.90,
A240.xlsx,0.04116445490578036,0.01409845147596217,0.01606767992719982,0.009032359093673115,Graded-test temporal holdout,vo2r,>=0.90,
A241.xlsx,0.01744227778442381,0.02491782968788725,0.03537540315622939,0.006301899478574902,Graded-test temporal holdout,vo2r,>=0.90,
A246.xlsx,0.1188762354963473,0.07559160186888658,0.06399541041143142,0.10944532498114878,Graded-test temporal holdout,vo2r,>=0.90,
A251.xlsx,0.022652218782249767,0.020285901852451493,0.03145533856119603,0.021536960614604916,Graded-test temporal holdout,vo2r,>=0.90,
A274.xlsx,0.02028401061593077,0.052778827886654056,0.062059647835147336,0.040492083367175524,Graded-test temporal holdout,vo2r,>=0.90,
A275.xlsx,0.007552760388676805,0.03579091510443955,0.04745982070845722,0.0006138522666420121,Graded-test temporal holdout,vo2r,>=0.90,
A294.xlsx,0.06860251046025101,0.02647101309175881,0.01772030123733853,0.045504638119825525,Graded-test temporal holdout,vo2r,>=0.90,
A295.xlsx,0.09957615531856723,0.05772667807259957,0.04789798109224097,0.07531712469511531,Graded-test temporal holdout,vo2r,>=0.90,
A3000.xlsx,0.05648514275745775,0.014475717619858608,0.006688505157892322,0.027116328754090258,Graded-test temporal holdout,vo2r,>=0.90,
A3001.xlsx,0.019664545980335475,0.022079210721875797,0.031777705530809275,0.02229169521787307,Graded-test temporal holdout,vo2r,>=0.90,
A3002.xlsx,0.07781649245063889,0.036243564675838856,0.03377042460886929,0.048985479352409045,Graded-test temporal holdout,vo2r,>=0.90,
A3003.xlsx,0.03368644067796617,0.007833188471481567,0.017255654676993637,0.02679859358095915,Graded-test temporal holdout,vo2r,>=0.90,
A3005.xlsx,0.8763374318297483,0.8342677753696921,0.8241679124384369,0.851460582841492,Graded-test temporal holdout,vo2r,>=0.90,
A3008.xlsx,0.02332966381573376,0.019037304704110913,0.02950332802765976,0.0032003576587700255,Graded-test temporal holdout,vo2r,>=0.90,
A3009.xlsx,0.023589494163424207,0.018414799917729152,0.028434164552624153,0.02738811012463732,Graded-test temporal holdout,vo2r,>=0.90,
A3010.xlsx,0.00741525423728806,0.035379100368502336,0.0463714792559734,0.011747636490318958,Graded-test temporal holdout,vo2r,>=0.90,
A3011.xlsx,0.026544878981731967,0.016789613529288427,0.02844720965487757,0.018180322452977293,Graded-test temporal holdout,vo2r,>=0.90,
A3012.xlsx,0.05012969083378649,0.009596645694462558,0.010866116865857867,0.024970564519937233,Graded-test temporal holdout,vo2r,>=0.90,
A3013.xlsx,0.03030303030303035,0.012189787675621658,0.02190334866895242,0.00821370757453399,Graded-test temporal holdout,vo2r,>=0.90,
A3014.xlsx,0.022697416435556894,0.019722018918368,0.030252658781733444,0.0029841953831379886,Graded-test temporal holdout,vo2r,>=0.90,
A3018.xlsx,0.03355957767722462,0.012760488963528549,0.018912407096653705,0.007778667807134765,Graded-test temporal holdout,vo2r,>=0.90,
A3019.xlsx,0.06070467576743732,0.022715599352988725,0.023616445841142086,0.04646043301834468,Graded-test temporal holdout,vo2r,>=0.90,
A3020.xlsx,0.020108936601431204,0.023212560110365543,0.034854151009172996,0.01146506945773107,Graded-test temporal holdout,vo2r,>=0.90,
A3022.xlsx,0.07327072152653546,0.03110672566289252,0.02512846043359714,0.04840984938661271,Graded-test temporal holdout,vo2r,>=0.90,
A3023.xlsx,0.02082742316784869,0.031129254709487963,0.04108997669167169,0.016903073286051895,Graded-test temporal holdout,vo2r,>=0.90,
A3024.xlsx,0.08552504971454222,0.04337709351354935,0.033978645120776384,0.05991775360646945,Graded-test temporal holdout,vo2r,>=0.90,
A3027.xlsx,0.01424808429118768,0.028242764253568753,0.038861354407240034,0.009561187914866986,Graded-test temporal holdout,vo2r,>=0.90,
A3031.xlsx,0.06658473105841523,0.024981054076681164,0.02356030940157755,0.03752787456702528,Graded-test temporal holdout,vo2r,>=0.90,
A3032.xlsx,0.02560151123483817,0.0155461615504488,0.024510537733261673,0.02397153798847429,Graded-test temporal holdout,vo2r,>=0.90,
A3036.xlsx,0.028676470588235137,0.01591761340668868,0.022265624766724668,0.003343492637401857,Graded-test temporal holdout,vo2r,>=0.90,
