family,parameter,participants,median_participant_rho
entropic_hrr,13.3,9,0.6523752867525634
entropic_hrr,13.4,9,0.6523752867525634
entropic_hrr,13.5,9,0.6523752867525634
entropic_hrr,13.6,9,0.6523752867525634
entropic_hrr,13.7,9,0.6523752867525634
entropic_hrr,13.8,9,0.6523752867525634
entropic_hrr,13.9,9,0.6523752867525634
entropic_hrr,14.0,9,0.6523752867525634
entropic_hrr,14.1,9,0.6523752867525634
entropic_hrr,14.2,9,0.6523752867525634
entropic_hrr,14.3,9,0.6523752867525634
entropic_hrr,14.4,9,0.6523752867525634
entropic_hrr,14.5,9,0.6523752867525634
entropic_hrr,14.6,9,0.6523752867525634
entropic_hrr,14.7,9,0.6523752867525634
entropic_hrr,14.8,9,0.6523752867525634
entropic_hrr,14.9,9,0.6523752867525634
entropic_hrr,15.0,9,0.6523752867525634
tilted_hrr,0.0,9,0.422008346476664
tilted_hrr,0.1,9,0.4033986242935059
tilted_hrr,0.2,9,0.38234520121761
