hrr,raw_identity,cycling_transfer
0.8220000000000001,0.8220000000000001,0.7773049645390071
0.8240000000000001,0.8240000000000001,0.7791962174940898
0.8260000000000001,0.8260000000000001,0.7810874704491726
0.8280000000000001,0.8280000000000001,0.7829787234042553
0.8300000000000001,0.8300000000000001,0.7848699763593381
0.8320000000000001,0.8320000000000001,0.7867612293144208
0.834,0.834,0.7886524822695035
0.836,0.836,0.7905437352245862
0.838,0.838,0.792434988179669
0.84,0.84,0.7943262411347517
0.842,0.842,0.7962174940898344
0.844,0.844,0.7981087470449172
0.846,0.846,0.7999999999999999
0.848,0.848,0.8018912529550827
0.85,0.85,0.8037825059101654
0.852,0.852,0.8056737588652482
0.854,0.854,0.8075650118203309
0.856,0.856,0.8094562647754137
0.858,0.858,0.8113475177304964
0.86,0.86,0.8132387706855791
0.862,0.862,0.8151300236406619
0.864,0.864,0.8170212765957446
0.866,0.866,0.8189125295508274
0.868,0.868,0.8208037825059101
0.87,0.87,0.8226950354609929
0.872,0.872,0.8245862884160756
0.874,0.874,0.8264775413711583
0.876,0.876,0.828368794326241
0.878,0.878,0.8302600472813237
0.88,0.88,0.8321513002364065
0.882,0.882,0.8340425531914892
0.884,0.884,0.835933806146572
0.886,0.886,0.8378250591016547
0.888,0.888,0.8397163120567375
0.89,0.89,0.8416075650118202
0.892,0.892,0.843498817966903
0.894,0.894,0.8453900709219857
0.896,0.896,0.8472813238770684
0.898,0.898,0.8491725768321512
0.9,0.9,0.8510638297872339
0.902,0.902,0.8529768321513002
0.904,0.904,0.8549333333333332
0.906,0.906,0.8569333333333332
0.908,0.908,0.8589768321513002
0.91,0.91,0.861063829787234
0.912,0.912,0.8631943262411348
0.914,0.914,0.8653683215130022
0.916,0.916,0.8675858156028369
0.918,0.918,0.8698468085106382
0.92,0.92,0.8721513002364065
0.922,0.922,0.8744992907801418
0.924,0.924,0.876890780141844
0.926,0.926,0.8793257683215129
0.928,0.928,0.8818042553191489
0.93,0.93,0.8843262411347518
0.932,0.932,0.8868917257683214
0.934,0.934,0.889500709219858
0.936,0.936,0.8921531914893617
0.9380000000000001,0.9380000000000001,0.8948491725768322
0.9400000000000001,0.9400000000000001,0.8975886524822695
0.9420000000000001,0.9420000000000001,0.9003716312056738
0.9440000000000001,0.9440000000000001,0.9031981087470449
0.9460000000000001,0.9460000000000001,0.906068085106383
0.9480000000000001,0.9480000000000001,0.9089815602836879
0.9500000000000001,0.9500000000000001,0.9119385342789598
0.9520000000000001,0.9520000000000001,0.9149390070921986
0.9540000000000001,0.9540000000000001,0.9179829787234043
0.9560000000000001,0.9560000000000001,0.9210704491725769
0.9580000000000001,0.9580000000000001,0.9242014184397163
0.96,0.96,0.9273758865248225
0.962,0.962,0.9305938534278958
0.964,0.964,0.9338553191489359
